x,y,z_s,snr,image_positions,magnifications
1.7000000000000002,2.128985507246377,2.3,1.028284685602319,"[(1.2688395004684287, 1.7170115226421516)]",[1.658751997302467]
1.7000000000000002,2.157971014492753,2.3,1.628382318432714,"[(1.2591853995772326, 1.7561660538960029)]",[1.6695186736118304]
1.7000000000000002,2.1,2.35,0.340852894999963,"[(1.280721886753417, 1.6807218867534153)]",[1.650804554843316]
1.7000000000000002,2.128985507246377,2.35,5.487764307679909,"[(1.2712747684321384, 1.7193177291998414)]",[1.6570503895712267]
1.7000000000000002,2.1,2.4,0.3992391379578253,"[(1.2829700343492971, 1.682970034349297)]",[1.6445625204590408]
1.7000000000000002,2.128985507246377,2.4,0.4185875658713577,"[(1.273581985655427, 1.7215049498328427)]",[1.6557651102027884]
1.7000000000000002,2.1,2.5,0.2330649018891906,"[(1.2871278684019358, 1.6871278684019355)]",[1.6331385510723677]
1.7000000000000002,2.128985507246377,2.5,0.7356948061601277,"[(1.2778464859216367, 1.7255545716028262)]",[1.6440553020210502]
1.7000000000000002,2.1,2.45,1.373815175107753,"[(1.2851024281224077, 1.685102428176271)]",[1.6386734062020116]
1.7000000000000002,2.128985507246377,2.45,0.6020359198483675,"[(1.2757691878394959, 1.7235817516462382)]",[1.64973124595543]
1.7000000000000002,2.157971014492753,2.45,0.5152327670199603,"[(1.266295348804824, 1.7625445427577107)]",[1.6604074568732716]
